,postId,time_start_experiment,stim,time_start_exp,time_end_exp,time_diff_exp,ans01,ans02,ans1,ans2,views,time_start_demo,time_end_demo,time_diff_demo,age,sex,degree,monitor,computer,expert,train,cb,time_start_spatial-first,time_end_spatial-first,time_diff_spatial-first,spatial_1,spatial_2,spatial_3,spatial_4,spatial_5,spatial_6,spatial_7,spatial_8,spatial_9,spatial_10,spatialFirst_numCorrect,spatialFirst_numWrong,spatialFirst_numSkipped,time_start_spatial-second,time_end_spatial-second,time_diff_spatial-second,spatial_11,spatial_12,spatial_13,spatial_14,spatial_15,spatial_16,spatial_17,spatial_18,spatial_19,spatial_20,spatialSecond_numCorrect,spatialSecond_numWrong,spatialSecond_numSkipped,time_end_experiment,time_diff_experiment,comments,ans1Corr,ans2Corr,numCorr,bonus,corr,spatialAbility,drop
10,knbtmdjz,1618064157525,betterStatic,1618064188359,1618064256721,68362,true positive,true positive,56,50,,1618064260592,1618064282698,22106,50-59,Male,Bachelors,23 or larger,11-20,intermediate,5,not_colorblind,1618064287844,1618064295770,7926,d,e,d,e,e,e,e,d,e,e,0,10,0,1618064302479,1618064311056,8577,c,e,e,d,e,e,e,e,d,e,3,7,0,1618064311065,153540,good,0,0,0,30,0,-1.25,0
11,knbtmh0r,1618064160960,betterStatic,1618064213467,1618064271407,57940,true positive,true positive,56,80,,1618064275207,1618064313638,38431,25-39,Male,Bachelors,13,31-40,expert,4,not_colorblind,1618064321145,1618064373477,52332,e,c,e,b,c,b,d,c,d,c,1,9,0,1618064379036,1618064430838,51802,c,d,e,d,c,d,e,d,c,d,3,7,0,1618064430844,269884,very useful,0,0,0,40,0,0.0,0
12,knbtmk1u,1618064166007,betterStatic,1618064762692,1618064837019,74327,true positive,true positive,57,80,,1618064840634,1618064875900,35266,25-39,Male,Bachelors,21,31-40,expert,5,colorblind,1618064882168,1618064911854,29686,d,c,e,d,c,e,d,c,e,d,4,6,0,1618064917295,1618064961358,44063,b,e,d,e,d,c,d,e,d,d,2,8,0,1618064961367,795360,satisfied to me a great deal,1,0,1,70,0,2.5,0
13,knbtmkc2,1618064165386,worseStatic,1618064230844,1618064275722,44878,true positive,true positive,56,56,,1618064280672,1618064322570,41898,18-24,Male,Bachelors,13,11-20,novice,1,not_colorblind,1618064329702,1618064367899,38197,a,e,d,,d,c,,,d,e,2,5,3,1618064369891,1618064411648,41757,e,b,d,c,,a,b,c,b,d,2,7,1,1618064411648,246262,no comment,0,1,1,50,0,1.0,0
14,knbtme88,1618064157621,worseStatic,1618064215370,1618064262278,46908,true positive,true positive,3,2,,1618064276445,1618064327201,50756,25-39,Male,Bachelors,15,6-10,expert,5,not_colorblind,1618064336524,1618064399517,62993,e,c,e,d,d,e,d,d,c,,2,7,1,1618064404846,1618064424346,19500,c,e,b,d,c,d,c,d,c,,2,7,1,1618064424351,266730,Interesting,0,0,0,40,0,0.5,0
15,knbtkzj6,1618064091809,betterStatic,1618064261966,1618064532825,270859,true negative,true positive,57,80,,1618064543308,1618064727529,184221,25-39,Male,Bachelors,23 or larger,31-40,intermediate,4,not_colorblind,1618064742417,1618064855965,113548,a,a,a,d,e,e,b,b,d,a,3,7,0,1618064863893,1618064993186,129293,c,b,a,e,d,c,e,d,c,b,6,4,0,1618064993193,901384,the task was fun and intellectual ,1,0,1,100,0,6.25,0
16,knbtnvuq,1618064227080,worseStatic,1618064241740,1618064285393,43653,true positive,true positive,50,25,,1618064289676,1618064311881,22205,18-24,Male,Bachelors,13,6-10,high-intermediate,5,not_colorblind,1618064316656,1618064374414,57758,d,b,d,d,b,d,c,e,d,c,2,8,0,1618064376793,1618064396785,19992,d,c,d,b,e,b,d,a,d,b,1,9,0,1618064396788,169708,none,0,0,0,30,0,-1.25,0
17,knbtgru3,1618063895546,worseStatic,1618063977951,1618063991134,13183,true positive,true positive,3,-1,,1618063996699,1618064013371,16672,40-49,Male,Bachelors,15,31-40,high-intermediate,5,colorblind,1618064021040,1618064060330,39290,c,c,c,d,b,c,b,b,c,b,2,8,0,1618064063954,1618064085749,21795,c,c,b,c,b,d,c,b,d,b,3,7,0,1618064085756,190210,good,0,0,0,50,0,1.25,0
18,knbtltl2,1618064130667,betterStatic,1618064318940,1618064557127,238187,true positive,true positive,57,80,,1618064567168,1618064602391,35223,25-39,Male,Bachelors,21,31-40,intermediate,4,not_colorblind,1618064615095,1618064682490,67395,a,e,c,d,b,c,d,b,d,c,3,7,0,1618064701678,1618064853526,151848,c,c,b,e,b,e,c,d,b,b,4,6,0,1618064853531,722864,This task is very enjoyable and difficult also. I try to do it as per my knowledge.,1,0,1,80,0,3.75,0
19,knbton3l,1618064263334,worseStatic,1618064288641,1618064305223,16582,true positive,true positive,30,25,,1618064308698,1618064328141,19443,25-39,Male,Masters,21,31-40,high-intermediate,5,not_colorblind,1618064333491,1618064354428,20937,e,c,b,e,d,e,e,e,d,e,3,7,0,1618064357658,1618064366684,9026,d,e,d,e,e,e,d,e,e,e,1,9,0,1618064366691,103357,A15A618QS7DD79,0,0,0,40,0,0.0,0
20,knbtqafm,1618064339069,middleStatic,1618064397090,1618064428644,31554,false negative,false negative,0,0,,1618064432998,1618064467635,34637,25-39,Female,Bachelors,23 or larger,41-50,R,5,not_colorblind,1618064474819,1618064518906,44087,a,b,c,b,c,b,c,b,d,d,1,9,0,1618064522221,1618064551192,28971,b,c,d,c,b,c,d,c,d,c,3,7,0,1618064551205,212136,good,0,0,0,40,0,0.0,0
21,knbtopb1,1618064266087,betterStatic,1618064373461,1618064442865,69404,true positive,true positive,56,20,,1618064452350,1618064484185,31835,40-49,Male,Bachelors,21,41-50,high-intermediate,5,not_colorblind,1618064515487,1618064612333,96846,a,b,b,a,d,d,c,a,d,d,2,8,0,1618064617880,1618064725682,107802,c,a,c,c,a,d,d,b,c,b,1,9,0,1618064725688,459601,NICE,0,0,0,30,0,-1.25,0
22,knbtqgvm,1618064347474,betterStatic,1618064356436,1618064462098,105662,false positive,false positive,60,16,,1618064464541,1618064493510,28969,40-49,Male,Masters,dontknow,41-50,high-intermediate,5,not_colorblind,1618064608406,1618064624337,15931,d,c,c,d,c,c,c,c,c,c,2,8,0,1618064627050,1618064643092,16042,b,c,c,d,c,d,c,c,d,c,2,8,0,1618064643097,295623,good,0,0,0,40,0,0.0,0
23,knbtqflh,1618064346821,middleStatic,1618064382397,1618064463312,80915,true positive,true positive,57,0,,1618064467869,1618064495783,27914,25-39,Male,Bachelors,23 or larger,31-40,intermediate,5,not_colorblind,1618064501211,1618064522471,21260,b,d,e,d,e,e,e,d,e,e,5,5,0,1618064524809,1618064535807,10998,c,c,c,e,d,e,a,e,e,e,2,8,0,1618064535813,188992,good,1,0,1,80,0,3.75,0
24,knbtms6t,1618064176228,middleStatic,1618064497270,1618064681367,184097,true negative,true negative,56,80,,1618064709887,1618064756772,46885,18-24,Female,Bachelors,13,21-30,intermediate,5,not_colorblind,1618064861971,1618064907177,45206,d,b,c,d,c,d,e,d,e,d,2,8,0,1618064930839,1618064977437,46598,c,d,d,b,d,e,d,c,d,e,2,8,0,1618064977445,801217,very well,0,0,0,40,0,0.0,0
25,knbtpsh2,1618064316928,middleStatic,1618064399243,1618065088682,689439,true positive,true positive,56,4,,1618065092931,1618065119153,26222,18-24,Male,PhD,15,41-50,high-intermediate,5,not_colorblind,1618065124546,1618065188061,63515,c,c,b,c,c,d,c,b,c,c,1,9,0,1618065190865,1618065207350,16485,c,d,c,,b,c,c,c,c,d,2,7,1,1618065207358,890430,NICE,0,0,0,30,0,-1.0,0
26,knbtqrse,1618064361720,worseStatic,1618064869141,1618065595141,726000,true negative,true positive,57,75,,1618065599478,1618065620977,21499,40-49,Male,Bachelors,15,6-10,intermediate,4,not_colorblind,1618065628527,1618065721012,92485,a,a,e,d,c,a,c,d,c,e,3,7,0,1618065723875,1618065752979,29104,c,b,c,d,c,d,c,b,c,c,3,7,0,1618065752992,1391272,IT IS VERY INTERESTING I ENJOY A LOT.,1,0,1,70,0,2.5,0
27,knbtrfnm,1618064392771,betterStatic,1618064449317,1618064500566,51249,true positive,true positive,57,56,,1618064507338,1618064528436,21098,40-49,Male,Bachelors,23 or larger,21-30,low-intermediate,2,not_colorblind,1618064568781,1618064749785,181004,a,d,b,a,a,e,b,c,,,5,3,2,1618064752585,1618064933591,181006,c,b,a,e,e,a,e,,d,,7,1,2,1618064933599,540828,n/a,1,1,2,140,1,11.0,0
28,knbtrisk,1618064399183,betterStatic,1618064454572,1618064528484,73912,true positive,true positive,57,57,,1618064577549,1618064662016,84467,40-49,Male,Bachelors,21,51-60,intermediate,3,not_colorblind,1618064679018,1618064811149,132131,a,c,b,c,b,c,b,c,b,c,4,6,0,1618064826216,1618064888011,61795,a,a,d,b,c,c,b,c,c,b,0,10,0,1618064888020,488837,good,1,0,1,50,0,0.0,0
29,knbts1bg,1618064420803,middleStatic,1618064440167,1618064549567,109400,false positive,false positive,43,57,,1618064553305,1618064609150,55845,40-49,Female,Bachelors,17,21-30,intermediate,4,not_colorblind,1618064613830,1618064649865,36035,d,c,b,c,d,c,b,c,d,c,2,8,0,1618064656906,1618064807929,151023,c,d,c,b,c,d,c,c,d,c,3,7,0,1618064807936,387133,good,0,0,0,50,0,1.25,0
30,knbts53h,1618064426624,betterStatic,1618064452908,1618064474524,21616,true positive,true positive,40,15,,1618064478609,1618064514567,35958,25-39,Male,Bachelors,9 or smaller,11-20,high-intermediate,2,not_colorblind,1618064520552,1618064558375,37823,c,d,c,d,c,e,b,d,c,,3,6,1,1618064590348,1618064614207,23859,a,c,d,c,e,a,d,d,b,e,2,8,0,1618064614212,187588,good survey,0,0,0,50,0,1.5,0
31,knbttg7t,1618064486854,middleStatic,1618064498526,1618064569366,70840,true negative,true positive,56,18,,1618064572048,1618064587953,15905,25-39,Male,Bachelors,13,11-20,high-intermediate,4,not_colorblind,1618064593328,1618064614092,20764,c,e,d,b,e,c,a,d,b,e,2,8,0,1618064616247,1618064632158,15911,d,c,e,b,d,c,b,d,,c,2,7,1,1618064632165,145311,none,0,0,0,40,0,0.25,0
32,knbtkurg,1618064085752,betterStatic,1618064558752,1618064656222,97470,true positive,true positive,56,80,,1618064662721,1618064697752,35031,60 ,Female,High School,15,31-40,intermediate,1,not_colorblind,1618064760040,1618064941050,181010,a,b,d,a,b,e,d,c,b,b,4,6,0,1618064945829,1618065126835,181006,c,d,d,e,b,d,b,b,a,b,3,7,0,1618065126840,1041088,That was really hard. I probably got less than two correct!!,0,0,0,70,0,3.75,0
33,knbtu6wh,1618064521084,middleStatic,1618064535244,1618064553989,18745,true negative,true negative,20,5,,1618064561692,1618064612449,50757,25-39,Male,Masters,19,41-50,high-intermediate,5,not_colorblind,1618064620849,1618064707183,86334,a,a,a,c,a,d,a,c,d,c,3,7,0,1618064714438,1618064786073,71635,c,a,e,c,d,d,d,c,b,a,1,9,0,1618064786077,264993,good,0,0,0,40,0,0.0,0
34,knbttise,1618064490003,middleStatic,1618064606429,1618065414256,807827,true positive,true positive,57,24,,1618065421635,1618065501019,79384,50-59,Male,Bachelors,15,11-20,expert,5,not_colorblind,1618065572721,1618065669994,97273,a,c,d,b,d,c,d,c,e,c,3,7,0,1618065673873,1618065749678,75805,c,e,d,c,b,d,b,b,b,b,2,8,0,1618065749687,1259684,It is interesting to participate and simple to complete ,1,0,1,60,0,1.25,0
35,knbtvoxd,1618064591282,worseStatic,1618064601203,1618064616032,14829,true positive,true positive,3,2,,1618064618452,1618064643132,24680,25-39,Male,Bachelors,15,6-10,expert,4,not_colorblind,1618064659519,1618064684039,24520,e,c,d,e,c,b,d,c,c,d,1,9,0,1618064693277,1618064710588,17311,a,c,d,c,c,d,e,c,d,e,2,8,0,1618064710592,119310,Interesting,0,0,0,30,0,-1.25,0
36,knbtvr74,1618064594322,betterStatic,1618064634433,1618064877772,243339,true negative,true negative,80,56,,1618064887762,1618064929334,41572,50-59,Female,Bachelors,23 or larger,6-10,intermediate,4,not_colorblind,1618064988156,1618065169162,181006,a,e,,d,a,e,,,,,3,2,5,1618065172080,1618065284917,112837,c,b,a,d,e,e,b,c,d,d,4,6,0,1618065284932,690610,very interesting,0,1,1,80,0,5.0,0
37,knbtw8ul,1618064617319,betterStatic,1618064808795,1618064840776,31981,true positive,true positive,56,20,,1618064843726,1618065027600,183874,25-39,Male,Bachelors,17,11-20,intermediate,4,not_colorblind,1618065035208,1618065147740,112532,a,d,d,d,c,e,c,e,d,a,4,6,0,1618065150409,1618065207197,56788,c,b,a,c,a,,d,c,c,e,3,6,1,1618065207201,589882,no,0,0,0,70,0,4.0,0
38,knbtx5aa,1618064659239,middleStatic,1618064671832,1618064684155,12323,true positive,true positive,80,56,,1618064686594,1618064702393,15799,25-39,Male,Bachelors,17,31-40,high-intermediate,4,not_colorblind,1618064707192,1618064737592,30400,a,b,b,a,a,,c,a,d,a,2,7,1,1618064741974,1618064777928,35954,c,a,d,c,a,d,d,b,c,d,1,9,0,1618064777940,118701,na,0,1,1,40,0,-1.0,0
39,knbtxmih,1618064681370,middleStatic,1618064691850,1618064717422,25572,true positive,true positive,56,18,,1618064720241,1618064742426,22185,25-39,Male,Bachelors,15,21-30,intermediate,3,not_colorblind,1618064747771,1618064795773,48002,d,d,b,c,e,c,d,b,e,d,3,7,0,1618064900465,1618064931031,30566,c,b,e,d,c,e,b,e,d,b,3,7,0,1618064931036,249666,none,0,0,0,60,0,2.5,0
40,knbtxur4,1618064693050,middleStatic,1618064706022,1618064725339,19317,true positive,true positive,40,15,,1618064728348,1618064745336,16988,25-39,Male,Bachelors,21,31-40,high-intermediate,5,R,1618064751169,1618064761935,10766,c,e,d,e,e,d,e,e,d,e,1,9,0,1618064765698,1618064778144,12446,e,e,d,e,d,e,e,e,d,e,3,7,0,1618064778149,85099,A3IDWLRXWYXBWN,0,0,0,40,0,0.0,0
41,knbtzo0d,1618064776779,middleStatic,1618064784289,1618064796169,11880,true positive,true positive,3,1,,1618064798331,1618064820959,22628,25-39,Male,Bachelors,15,6-10,expert,4,not_colorblind,1618064825926,1618064848400,22474,c,d,c,d,e,c,d,d,c,,2,7,1,1618064850892,1618064866798,15906,a,b,c,d,d,e,d,c,b,d,1,9,0,1618064866803,90024,Interesting,0,0,0,30,0,-1.0,0
42,knbtzxya,1618064790519,worseStatic,1618064807736,1618064823483,15747,true positive,true positive,30,14,,1618064828354,1618064848186,19832,25-39,Male,Bachelors,9 or smaller,11-20,intermediate,3,not_colorblind,1618064855191,1618064877465,22274,a,b,a,d,c,d,e,c,d,e,4,6,0,1618064880649,1618064901752,21103,a,c,d,b,d,b,d,b,e,,0,9,1,1618064901758,111239,good survey,0,0,0,40,0,0.25,0
43,knbu0wkq,1618064834399,betterStatic,1618064921516,1618064980051,58535,true positive,true positive,57,56,,1618064988169,1618065013947,25778,18-24,Male,Bachelors,17,51-60,intermediate,2,not_colorblind,1618065066781,1618065247783,181002,a,d,b,d,b,e,,,,,6,0,4,1618065250612,1618065431623,181011,c,b,a,e,b,a,e,d,,,8,0,2,1618065431629,597230,none,1,1,2,160,1,14.0,0
44,knbu1kqr,1618064866757,betterStatic,1618064911230,1618065036657,125427,true negative,true positive,57,24,,1618065046054,1618065081798,35744,25-39,Male,Bachelors,17,31-40,intermediate,4,not_colorblind,1618065093285,1618065131695,38410,c,b,d,c,e,d,b,c,c,d,1,9,0,1618065181839,1618065195854,14015,c,c,d,b,c,d,a,d,d,b,3,7,0,1618065195863,329106,I really liked this study,1,0,1,50,0,0.0,0
45,knbu2ljw,1618064913648,worseStatic,1618064945186,1618064987518,42332,false positive,true positive,46,27,,1618064993775,1618065029620,35845,25-39,Female,Bachelors,15,21-30,high-intermediate,3,not_colorblind,1618065039012,1618065132266,93254,e,b,a,a,a,e,,e,d,b,1,8,1,1618065137766,1618065195874,58108,c,a,a,d,,d,d,c,c,e,2,7,1,1618065195886,282238,none,0,0,0,30,0,-0.75,0
46,knbu4bc3,1618064993630,betterStatic,1618065009209,1618065023746,14537,true positive,true positive,56,16,,1618065025986,1618065039877,13891,25-39,Male,Bachelors,17,21-30,intermediate,3,not_colorblind,1618065044968,1618065075023,30055,a,d,c,b,e,d,b,d,b,b,2,8,0,1618065077191,1618065124432,47241,d,c,b,c,e,b,e,d,b,e,2,8,0,1618065124440,130810,none,0,0,0,40,0,0.0,0
47,knbu4n03,1618065010356,betterStatic,1618065041754,1618065053514,11760,true positive,true positive,57,80,,1618065066579,1618065087394,20815,25-39,Male,Bachelors,19,21-30,intermediate,5,not_colorblind,1618065102831,1618065143573,40742,c,c,e,c,c,b,e,c,b,e,0,10,0,1618065237367,1618065283525,46158,d,c,e,d,e,d,c,b,e,d,0,10,0,1618065283531,273175,satisfied to me a great deal,1,0,1,10,0,-5.0,0
48,knbu6e79,1618065090461,middleStatic,1618065151166,1618065216358,65192,true positive,true positive,57,20,,1618065218819,1618065242715,23896,50-59,Male,Bachelors,11,6-10,high-intermediate,4,not_colorblind,1618065248417,1618065264161,15744,d,e,d,c,c,c,d,c,d,d,1,9,0,1618065266538,1618065281249,14711,c,d,d,d,e,d,d,c,c,c,2,8,0,1618065281257,190796,good,1,0,1,40,0,-1.25,0
49,knbu6s0a,1618065109433,worseStatic,1618065145969,1618065226748,80779,true positive,true positive,60,100,,1618065230384,1618065244403,14019,25-39,Male,Bachelors,19,21-30,intermediate,5,not_colorblind,1618065249829,1618065298987,49158,d,c,e,d,c,d,e,d,c,d,1,9,0,1618065310015,1618065348316,38301,e,c,d,e,d,c,d,e,d,c,3,7,0,1618065348323,238890,satisifed to me a great deal,0,0,0,40,0,0.0,0
50,knbtwyqu,1618064650765,betterStatic,1618065227533,1618065282604,55071,true positive,true positive,56,50,,1618065294724,1618065347167,52443,25-39,Male,Bachelors,19,31-40,expert,5,not_colorblind,1618065480333,1618065661335,181002,a,d,b,d,b,e,,,,,6,0,4,1618065666885,1618065808388,141503,c,b,a,e,b,a,a,b,b,e,6,4,0,1618065808412,1157647,Good exercise.,0,0,0,120,0,11.0,0
51,knbtwgfc,1618064627699,betterStatic,1618065202907,1618065485249,282342,false positive,false positive,3,1,,1618065564443,1618065572196,7753,40-49,Male,Other,11,21-30,low-intermediate,2,R,1618065580419,1618065619436,39017,a,d,b,b,c,c,b,b,b,c,3,7,0,1618065632489,1618065695391,62902,c,d,b,c,b,b,b,d,b,b,3,7,0,1618065695403,1067704,YES,0,0,0,60,0,2.5,0
52,knbu8lmx,1618065193640,betterStatic,1618065206368,1618065219523,13155,true positive,true positive,12,2,,1618065222052,1618065234114,12062,25-39,Male,Masters,17,31-40,high-intermediate,4,colorblind,1618065238816,1618065260410,21594,c,d,c,e,d,d,,b,c,,1,7,2,1618065262714,1618065447548,184834,c,b,,,,,,,,,2,0,8,1618065447564,253924,good,0,0,0,30,0,1.25,0
53,knbugy0h,1618065582696,middleStatic,1618065602837,1618065624070,21233,true positive,true positive,56,20,,1618065625971,1618065642729,16758,40-49,Male,Bachelors,11,6-10,high-intermediate,5,not_colorblind,1618065648504,1618065668555,20051,c,d,d,c,d,d,d,e,e,e,3,7,0,1618065671803,1618065688813,17010,b,c,c,c,d,d,d,d,c,d,1,9,0,1618065688827,106131,good,0,0,0,40,0,0.0,0
54,knbufyd4,1618065536600,middleStatic,1618065547642,1618065561420,13778,true positive,true positive,56,20,,1618065563541,1618065576957,13416,40-49,Male,Bachelors,11,21-30,intermediate,4,not_colorblind,1618065582216,1618065603170,20954,b,c,d,c,d,d,d,d,c,,0,9,1,1618065605357,1618065620736,15379,c,d,d,c,c,d,d,d,e,e,2,8,0,1618065620749,84149,na,0,0,0,20,0,-2.25,0
55,knbuelfj,1618065473182,betterStatic,1618065518556,1618065545484,26928,true positive,true positive,57,56,,1618065550979,1618065565043,14064,25-39,Male,Bachelors,13,21-30,intermediate,2,not_colorblind,1618065592018,1618065622316,30298,a,b,d,c,e,a,c,a,d,d,1,9,0,1618065624626,1618065649658,25032,c,c,d,b,c,e,e,b,d,d,3,7,0,1618065649663,176481,none,1,1,2,60,1,0.0,0
56,knbuj91b,1618065690443,middleStatic,1618065800765,1618065970691,169926,true positive,true positive,57,24,,1618065973088,1618066038606,65518,40-49,Female,Masters,15,41-50,high-intermediate,4,not_colorblind,1618066104264,1618066283547,179283,d,d,d,e,d,c,a,e,c,b,2,8,0,1618066286282,1618066474030,187748,e,e,e,e,e,d,d,c,b,c,2,8,0,1618066474058,783615,It was interesting,1,0,1,50,0,0.0,0
57,knbun0pp,1618065866903,betterStatic,1618065877815,1618065892500,14685,true positive,true positive,5,5,,1618065895731,1618065936792,41061,40-49,Female,Bachelors,13,11-20,intermediate,5,colorblind,1618065942068,1618065960609,18541,e,d,d,e,d,e,d,e,d,e,3,7,0,1618065972997,1618065989970,16973,e,d,e,d,e,d,e,d,e,d,2,8,0,1618065989979,123076,LIKE,0,0,0,50,0,1.25,0
58,knbul9hw,1618065784162,worseStatic,1618065959441,1618066012941,53500,true negative,true negative,19,19,,1618066033371,1618066133260,99889,25-39,Male,Bachelors,23 or larger,6-10,R,3,not_colorblind,1618066192739,1618066303450,110711,e,b,b,a,e,c,c,e,d,a,1,9,0,1618066314703,1618066495709,181006,c,c,d,b,a,d,d,,,,1,6,3,1618066495714,711552,i love this,0,0,0,20,0,-1.75,0
59,knbuphq8,1618065982777,worseStatic,1618066312917,1618066371701,58784,true negative,true negative,20,80,,1618066380486,1618066476416,95930,25-39,Male,Bachelors,19,31-40,high-intermediate,5,not_colorblind,1618066571981,1618066711336,139355,e,d,e,a,a,c,e,c,d,a,2,8,0,1618066717169,1618066855943,138774,a,a,e,b,e,e,d,b,c,b,0,10,0,1618066855951,873174,very nice task,0,0,0,20,0,-2.5,0
60,knbu2vbm,1618064926073,betterStatic,1618066320268,1618066337837,17569,true negative,true negative,19,19,,1618066340566,1618066379037,38471,25-39,Male,Bachelors,21,6-10,R,1,not_colorblind,1618066383126,1618066422975,39849,e,b,e,a,d,e,c,a,d,a,1,9,0,1618066425025,1618066608033,183008,e,d,e,c,a,d,d,c,,,0,8,2,1618066608044,1681971,i love this survey,0,0,0,10,0,-3.25,0
61,knbuzc51,1618066441493,worseStatic,1618066477166,1618066497054,19888,true positive,true positive,5,6,,1618066501110,1618066525212,24102,25-39,Female,Bachelors,13,21-30,expert,4,colorblind,1618066534030,1618066563501,29471,d,,e,c,d,e,d,c,d,e,3,6,1,1618066567642,1618066590053,22411,c,d,c,d,c,d,c,d,b,d,2,8,0,1618066590060,148567,NICE,0,0,0,50,0,1.5,0
